1,1,1,27/11/2023
2,5,1,28/11/2023
3,6,1,29/01/2022
4,8,1,27/06/2023
5,1,2,11/05/2023
6,2,2,10/04/2023
7,8,2,01/02/2022
8,7,2,05/07/2023
9,1,3,09/10/2022
10,6,3,06/05/2023
11,4,3,01/05/2022
12,3,3,06/05/2022
13,1,4,14/02/2022
14,3,4,23/09/2023
15,4,4,28/11/2021
16,5,4,29/12/2023
17,1,5,08/08/2023
18,2,5,14/09/2023
19,3,5,17/06/2023
20,4,5,21/07/2022
21,1,6,09/08/2022
22,4,6,15/05/2022
23,5,6,23/05/2023
24,6,6,16/06/2023
25,1,7,19/12/2023
26,2,7,20/08/2023
27,4,7,31/01/2024
28,7,7,09/04/2023
29,1,8,09/10/2023
30,2,8,05/07/2023
31,1,9,09/05/2022
32,2,9,09/07/2022
33,8,9,01/08/2022
34,6,9,19/06/2023
35,1,10,18/04/2023
36,5,10,19/02/2022
37,1,11,21/05/2022
38,1,12,25/06/2023
39,1,13,27/04/2022
40,2,13,19/05/2023
41,5,13,18/05/2021
42,6,13,09/07/2021
43,1,14,27/11/2023
44,1,15,28/11/2023
45,2,15,29/01/2022
46,1,16,27/06/2023
47,2,16,11/05/2023
48,3,16,10/04/2023
49,4,16,01/02/2022
50,5,16,05/07/2023
51,6,16,09/10/2022
52,7,16,06/05/2023
53,1,17,01/05/2022
54,2,17,06/05/2022
55,4,17,14/02/2022
56,5,17,23/09/2023
57,6,17,28/11/2021
58,7,17,29/12/2023
59,1,18,08/08/2023
60,2,18,14/09/2023
61,3,18,17/06/2023
62,4,18,21/07/2022
63,5,18,09/08/2022
64,6,18,15/05/2022
65,7,18,23/05/2023
66,1,19,16/06/2023
67,2,19,19/12/2023
68,4,19,20/08/2023
69,1,20,31/01/2024
70,2,20,09/04/2023
71,6,20,09/10/2023
72,1,21,05/07/2023
73,1,22,09/05/2022
74,2,22,09/07/2022
75,5,22,01/08/2022
76,6,22,19/06/2023
77,7,22,18/04/2023
78,8,22,19/02/2022
79,1,23,21/05/2022
80,1,24,25/06/2023
81,2,24,27/04/2022
